0,1,2,3,4,5,6,7,8,9,10,11,12
A,0.04,0.039,0.04,0.038,0.039,0.04,0.038,0.038,0.04,0.039,0.039,0.038
B,0.039,0.04,0.037,0.038,0.038,0.038,0.037,0.038,0.036,0.038,0.042,0.04
C,0.039,0.038,0.038,0.037,0.038,0.037,0.038,0.037,0.035,0.042,0.038,0.04
D,0.037,0.038,0.036,0.035,0.038,0.038,0.037,0.039,0.038,0.038,0.039,0.04
E,0.039,0.038,0.039,0.039,0.04,0.037,0.039,0.034,0.038,0.042,0.038,0.038
F,0.04,0.041,0.039,0.038,0.035,0.039,0.04,0.04,0.037,0.039,0.039,0.036
G,0.041,0.039,0.041,0.043,0.037,0.039,0.042,0.042,0.042,0.041,0.037,0.037
H,0.039,0.036,0.038,0.036,0.038,0.036,0.035,0.037,0.041,0.037,0.036,0.037
,,,,,,,,,,,,
IPTG (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0,0,0,0,0,0,0,0,0,0
B,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
C,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
D,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
E,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
F,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
G,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
H,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,
cumate (mM),1,2,3,4,5,6,7,8,9,10,11,12
A,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
B,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
C,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
D,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
E,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
F,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
G,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
H,0,0,0.02,0.02,0.07,0.07,0.1,0.1,0.3,0.3,0.5,0.5
,,,,,,,,,,,,
Replicate,1,2,3,4,5,6,7,8,9,10,11,12
A,1,2,1,2,1,2,1,2,1,2,1,2
B,1,2,1,2,1,2,1,2,1,2,1,2
C,1,2,1,2,1,2,1,2,1,2,1,2
D,1,2,1,2,1,2,1,2,1,2,1,2
E,1,2,1,2,1,2,1,2,1,2,1,2
F,1,2,1,2,1,2,1,2,1,2,1,2
G,1,2,1,2,1,2,1,2,1,2,1,2
H,1,2,1,2,1,2,1,2,1,2,1,2
,,,,,,,,,,,,
Strain,1,2,3,4,5,6,7,8,9,10,11,12
A,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
B,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
C,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
D,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
E,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
F,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
G,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
H,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100,TH100
